brand,price,type,colour,msoffice,RAM,RAMtype,SSD,SSDCap,HDDCap,ProcessorBrand,ProcessorName,ProcessorVariant,ClockSpeed,GPU,GPUramtype,GPUramcap,OS,Touchscreen,Screensize,Screenreso,refreshrate,Bluetooth,Weight,BacklitKB,warranty
MSI,"₹45,990",Gaming Laptop,Black,No,8 GB,DDR5,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,7535HS,Max Frequency Up to 4.55 GHz,AMD Radeon RX6550M,GDDR6,4 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 X 1080 Pixel,144 Hz,v5.3,2.35 Kg,Yes,1 Year Carry-in Warranty
AXL,"₹16,970",Thin and Light Laptop,Space Grey,No,4 GB,DDR4,Yes,256 GB,0,Intel,Celeron Dual Core,,,Intel Integrated,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920*1080 pixel,60,yes,,No,1 Year
HP,"₹36,990",Thin and Light Laptop,Natural Silver,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i3,1215U,"Base Frequency 3.30 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,60,v5.0,1.69 kg,Yes,1 Year Onsite Warranty
Acer,"₹29,990",Thin and Light Laptop,Steel Gray,No,8 GB,LPDDR5,Yes,512 GB,0,AMD,Ryzen 5 Quad Core,7520U,2.8GHz Upto 4.3GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.1,1.78 Kg,No,1 Year International Travelers Warranty
HP,"₹32,990",Thin and Light Laptop,Natural Silver,Yes,8 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 3 Quad Core,5300U,2.6 GHz with Turbo Boost Upto 3.8 GHz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,60,v4.2,1.69 Kg,No,1 Year Onsite Warranty
HP,"₹25,990",Notebook,Dark Ash,No,8 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 3 Dual Core,AMD Ryzen3 3250,"1.0 GHz base frequency, up to 3.6 GHz with Intel® Turbo Boost Technology,",AMD Radeon Vega 8 Graphics,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1366 x 768 pixel pixel,60,Yes,1.78 kg,No,1 Year
HP,"₹33,490",Thin and Light Laptop,Natural Silver,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i3,1115G4,"Base Frequency 1.7 GHz, Max Turbo Frequency at 4.1 GHz",Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 inch),1920 x 1080 Pixel,60,v5.0,1.41 kg,No,1 Year Onsite Warranty
CHUWI,"₹27,990",2 in 1 Laptop,Grey,No,12 GB,LPDDR4,Yes,512 GB,0,Intel,Core i3,Intel Core i3-1215U,2.8GHz,Intel Integrated Intel UHD Graphics,GDDR3,2 GB,Windows 11 Home,Yes,34.29 cm (13.5 inch),2256x1504 pixel,60,5.2,1340 g,Yes,1 Year Onsite Warranty
Lenovo,"₹33,990",Thin and Light Laptop,Arctic Grey,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i3,1115G4,4.1,Intel Integrated UHD Graphics,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920x1080 Pixels,60,v5.0,1.7 Kg,No,1 Year Onsite Warranty + 1 Year ADP
DELL,"₹34,540",Thin and Light Laptop,Platinum Silver,Yes,8 GB,DDR4,Yes,512 GB,0,Intel,Core i3,1215U,0.9 GHz upto max turbo frequency at 4.4 Ghz,Intel Integrated UHD,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,60,v5.2,1.65 Kg,No,1 Year Onsite Hardware Service
MSI,"₹34,990",Thin and Light Laptop,Urban Silver,No,16 GB,DDR4,Yes,512 GB,0,AMD,Ryzen 5 Hexa Core,7530U,2.0 GHz upto max turbo frequency at 4.5 Ghz,AMD Radeon AMD,GDDR4,2 GB,Windows 11 Home,No,35.56 cm (14 Inch),1920 x 1080 Pixel,60,v5.2,1.4 Kg,Yes,1 Year Carry-in Warranty
Lenovo,"₹26,990",Thin and Light Laptop,Cloud Grey,Yes,8 GB,LPDDR5,Yes,512 GB,0,AMD,Athlon Dual Core,7120U,Max Turbo Frequency up to 3.5GHz,AMD Radeon 610M Graphics,GDDR4,2 GB,Windows 11 Home,No,39.62 cm (15.6 inch),1366 x 768 Pixel,60,v5.1,1.58 Kg,No,1 Year Carry-in Warranty
