brand,type,msoffice,RAM,SSDCap,HDDCap,GPU,OS,Touchscreen,refreshrate,Weight,BacklitKB,warranty,price,PPI,Processor
MSI,Gaming Laptop,0,8,512,0,AMD Radeon RX 6550M,Windows 11 Home,0,144,2.35,1,1,45990.0,141.21199808219862,AMD Ryzen 5 Hexa Core
AXL,Thin and Light Laptop,0,4,256,0,Intel Integrated Graphics,Windows 11 Home,0,60,1.69,0,1,16970.0,141.21199808219862,Intel Celeron Dual Core
HP,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.69,1,1,36990.0,141.21199808219862,Intel Core i3
Acer,Thin and Light Laptop,0,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.78,0,1,29990.0,141.21199808219862,AMD Ryzen 5 Quad Core
HP,Thin and Light Laptop,1,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.69,0,1,32990.0,141.21199808219862,AMD Ryzen 3 Quad Core
HP,Notebook,0,8,512,0,AMD Radeon Vega 8,Windows 11 Home,0,60,1.78,0,1,25990.0,100.45466986113651,AMD Ryzen 3 Dual Core
HP,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.41,0,1,33490.0,157.3505121487356,Intel Core i3
CHUWI,2 in 1 Laptop,0,12,512,0,Intel Integrated UHD,Windows 11 Home,1,60,1.34,1,1,27990.0,200.84255993695703,Intel Core i3
Lenovo,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.7,0,1,33990.0,141.21199808219862,Intel Core i3
DELL,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.65,0,1,34540.0,141.21199808219862,Intel Core i3
MSI,Thin and Light Laptop,0,16,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.4,1,1,34990.0,157.3505121487356,AMD Ryzen 5 Hexa Core
Lenovo,Thin and Light Laptop,1,8,512,0,AMD Radeon 610M,Windows 11 Home,0,60,1.58,0,1,26990.0,100.45466986113651,AMD Athlon Dual Core
SAMSUNG,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.8,0,1,42990.0,141.21199808219862,Intel Core i5
Infinix,Thin and Light Laptop,0,16,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.24,0,1,36990.0,157.3505121487356,Intel Core i5
ASUS,Thin and Light Laptop,1,8,512,0,Intel Integrated Iris X graphics,Windows 11 Home,0,60,1.8,0,1,40990.0,141.21199808219862,Intel Core i5
HP,Business Laptop,0,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.98,0,1,25649.0,111.93520355955211,AMD Ryzen 3 Dual Core
DELL,Thin and Light Laptop,1,8,512,0,Intel Integrated UHD,Windows 11 Home,0,60,1.65,0,1,47480.0,141.21199808219862,Intel Core i5
HP,Business Laptop,0,8,512,0,AMD Radeon Vega Graphics,Windows 11 Home,0,60,1.74,0,1,25749.0,100.45466986113651,AMD Ryzen 3 Dual Core
ASUS,Thin and Light Laptop,0,8,256,0,Intel Integrated UHD,Windows 11 Home,0,60,1.8,0,1,29990.0,141.21199808219862,Intel Core i3
